LANGUAGE,English,German
STR_SCORE_BIKERS, "Bikers: %1 $", "Biker: %1 $"
STR_SCORE_REPKIT, "Repairkit: %1", "Repkit: %1"
STR_SCORE_CANISTER, "Canister: %1", "Kanister: %1"
STR_SCORE_YES, "Yes", "Ja"
STR_SCORE_NO, "No", "Nein"
STR_SCORE_WEED, "Weed: %1 P.", "Gras: %1 P."
STR_SCORE_MED, "Medicines: %1 P.", "Medizin: %1 P."
STR_SCORE_ANGELDUST, "Angeldust: %1 P.", "Angeldust: %1 P."
STR_SCORE_GUNRUN, "Gunrun: %1", "W.-Schmuggel: %1"
STR_SCORE_LAWYER, "Lawyer: %1 ", "Anwalt: %1"
STR_SCORE_BARRIERS, "Barriers: %1 ", "Straßensperren: %1"
STR_SCORE_BUILDINGS, "Buildings", "Gebäude"
STR_SCORE_BROTHELS, "Brothels: %1", "Bordelle: %1"
STR_SCORE_HOOKERS, "Hookers: %1", "Nutten: %1"
STR_SCORE_SHEDS, "Sheds: %1", "Schuppen: %1"
STR_SCORE_RECENTCRIMESCENES, "Recent Crimescenes", "Aktuelle Tatorte"

STR_BUILD_SECONDS, "You have %1 seconds to place this", "Du hast %1 Sek. Zeit, das Gebäude zu platzieren."
STR_BUILD_BUILD, "> Build", "> Bauen"
STR_BUILD_CANCEL, "> Cancel Build", "> Abbrechen"
STR_BUILD_BUILDCANCELED, "Build canceled (timeout)", "Bau abgebrochen (Zeit um)"
STR_BUILD_MONEY, "Not enough Money\nNeed: %1\nCost: %2", "Nicht genug Geld\nDu brauchst noch: %1\nKosten: %2"
STR_BUILD_TOCLOSE, "Build canceled!\nDon't place this building to close to other buildings!", "Bauvorgang abgebrochen.\nDer Ort ist zu nah an anderen Gebäuden."
STR_BUILD_TOFAR, "Build canceled!\nThis place is to far away from other buildings.", "Bauvorgang abgebrochen.\nDer Ort ist zu weit von anderen Gebäuden entfernt."
STR_BUILD_DENY_LIPANY, "City government of Lipany doesn't allow to build here. You obey ...", "Die Stadtverwaltung von Lipany duldet hier keine weiteren Gebäude. Du gehorchst..."
STR_BUILD_DENY_PETRO, "City government of Petrovice doesn't allow to build here. You obey ...", "Die Stadtverwaltung von Petrovice duldet hier keine weiteren Gebäude. Du gehorchst..."
STR_BUILD_WEED_NEARSHED, "Grow your weed near a weed shed!", "Bau dein Gras in der Nähe eines Schuppens an!"
STR_BUILD_COPS, "You don't need to build anything. Get back to work!", "Du musst nichts bauen. Geh zurück an die Arbeit!"
STR_BUILD_TEAMACCOUNT, "I pay from the teamaccount.", "Ich zahle direkt vom Teamkonto"

STR_SELF_CRIMEHS1, "Crimerate in Nogova increased.\nPolice is equipped with Helis now and may recruit cops. More weapons are available.", "Die Crimerate ist gestiegen in Nogova.\nDer Polizei stehen jetzt Helis zur Verfügung und es können Polizisten rekrutiert werden. Mehr Waffen sind verfügbar."
STR_SELF_CRIMEHS2, "Crimerate in Nogova increased.\nPolice may use better weapons now and recruit heavy armed cops.", "Die Crimerate ist gestiegen in Nogova.\nDie Polizei kann jetzt bessere Waffen benutzen und schwer bewaffnete Polizisten rekrutieren."
STR_SELF_CRIMEHS3, "Crimerate in Nogova is very high!\nPolice may use heavy weapons now, recruit specops and use BRDMs.", "Die Crimerate ist sehr hoch!\nDie Polizei kann jetzt schwere Waffen benutzen, Spezialeinheiten rekrutieren und BRDMs benutzen."
STR_SELF_CRIMEHS4, "Crimerate in Nogova is extreme!\nPolice may call Emergency Swat-Support!", "Die Crimerate ist extreme hoch in Nogova!\nPolizisten können SWAT-Teams anfordern"
STR_SELF_CRIMEHS5, "Now it's a war against crime!\nPolice may use heavy armed vehicles!", "Jetzt ist es ein Krieg gegen das Verbrechen!\nDie Polizei kann jetzt schwer bewaffnete Fahrzeuge benutzen!"
